t,P,D,u,lambda
27.900000000000126,1.0639415658277993,50.0,0.30923520565531426,0.25765336392163984
28.000000000000128,1.057018833009915,50.0,0.28039990244468815,0.26160395372234757
28.10000000000013,1.0498232008241846,50.0,0.25423044979529713,0.265907260501081
28.20000000000013,1.0423890384106624,50.0,0.23048887165678164,0.27055108492415303
28.300000000000132,1.0347475361449598,50.0,0.20895674067494308,0.27552518564623935
28.400000000000134,1.0269269724812575,50.0,0.18943390582253494,0.2808210438574418
28.500000000000135,1.0189529623708569,50.0,0.17173723264573418,0.2864316641353399
28.600000000000136,1.0108486877188287,50.0,0.1556993747506565,0.29235140550061406
28.700000000000138,1.0026351105333313,50.0,0.1411675897514241,0.2985758376817794
28.80000000000014,0.9943311695527489,50.0,0.1280026086864205,0.30510161848898115
28.90000000000014,0.9859539612187843,50.0,0.11607756464189888,0.31192638892149416
29.000000000000142,0.9775189059100337,50.0,0.10527698380912512,0.31904868322237157
29.100000000000144,0.9690399003691289,50.0,0.09549584028800928,0.3264678515733739
29.200000000000145,0.960529457254185,50.0,0.0866386745126191,0.33418399351514116
29.300000000000146,0.9519988327275243,50.0,0.07861877411257916,0.34219790049845394
29.400000000000148,0.943458142965775,50.0,0.07135741525940655,0.35051100623585935
29.50000000000015,0.9349164704388546,50.0,0.06478316201447705,0.35912534373970606
29.60000000000015,0.926381960763673,50.0,0.058831220844504324,0.36804350811139186
29.700000000000152,0.9178619108936924,50.0,0.0534428472604049,0.37726862429433267
29.800000000000153,0.9093628493593098,50.0,0.048564801433783625,0.38680431912541247
29.900000000000155,0.900890609227597,50.0,0.04414884962629606,0.39665469712098506
30.000000000000156,0.8924503944041351,50.0,0.040151308310563204,0.40682431951751047
30.100000000000158,0.8840468398551784,50.0,0.03653262795130117,0.4173181861565589
30.20000000000016,0.875684066285673,50.0,0.0332570135397046,0.42814171986155275
30.30000000000016,0.8673657297680787,50.0,0.030292079123750107,0.4393007530011211
30.400000000000162,0.8590950667787572,50.0,0.027608533745437182,0.45080151597277185
30.500000000000163,0.8508749350630673,50.0,0.025179896378866955,0.4626506273718539
30.600000000000165,0.8427078507173956,50.0,0.022982237658517906,0.47485508563526063
30.700000000000166,0.8345960218462801,50.0,0.020993946395499712,0.4874222619674647
30.800000000000168,0.8265413791256917,50.0,0.019195519104060442,0.5003598943683755
30.90000000000017,0.8185456035796489,50.0,0.01756937100779789,0.513676082587855
31.00000000000017,0.8106101518569547,50.0,0.01609966727638942,0.5273792838296787
31.100000000000172,0.8027362792784714,50.0,0.014772173578008365,0.5414783090167018
31.200000000000173,0.7949250609137697,50.0,0.013574125450131475,0.5559823194063623
31.300000000000175,0.7871774109404859,50.0,0.012494116540767045,0.5709008233071422
31.400000000000176,0.779494100542302,50.0,0.01152200653252624,0.5862436725854133
31.500000000000178,0.771875774615452,50.0,0.0106488506652044,0.6020210585572419
31.60000000000018,0.7643229675844512,50.0,0.009866854442811877,0.618243506713316
31.70000000000018,0.7568361186844494,50.0,0.009169359739831366,0.6349218694974023
31.800000000000182,0.7494155871658416,50.0,0.008550872813244001,0.6520673159987802
31.900000000000183,0.7420616680440861,50.0,0.008007151991246297,0.669691316837633
32.000000000000185,0.7347746093043708,50.0,0.007535385573640913,0.687805621557261
32.100000000000186,0.7275546319719322,50.0,0.00713451382656345,0.7064222241826006
32.20000000000019,0.7204019553623257,50.0,0.00680579361076843,0.7255533096595076
32.30000000000019,0.7133168315213307,50.0,0.006553794042881321,0.745211168410247
32.40000000000019,0.7062995962071328,50.0,0.006388203370065444,0.7654080555051291
32.50000000000019,0.6993507507682374,50.0,0.006327265997061645,0.7861559485801443
32.60000000000019,0.6924711050487821,50.0,0.006404760008278678,0.8074661084269537
32.700000000000195,0.6856620503929182,50.0,0.006685435056928165,0.8293482227459275
32.800000000000196,0.6789261396294958,50.0,0.007303286517457118,0.8518085729656762
32.9000000000002,0.6722684979443538,50.0,0.008572320663733419,0.8748455710689835
33.0000000000002,0.6657009636681215,50.0,0.011386542834118434,0.8984366940161277
33.1000000000002,0.659258291995625,50.0,0.0192605135631063,0.9224875444141921
33.2000000000002,0.6531043586308946,50.0,0.05783083898886083,0.9464990928285665
33.3000000000002,0.6497012045254231,50.0,0.8429296331576911,0.9627901280692143
33.400000000000205,0.6802648106804527,50.0,4.2691110999713295,0.877550792545151
33.500000000000206,0.7309018846188183,50.0,4.796411648809129,0.7496031911974813
33.60000000000021,0.7836727974714542,50.0,4.821660635746977,0.6348847022154098
33.70000000000021,0.8351921656777036,50.0,4.701561302761183,0.5389776859978863
33.80000000000021,0.8842407191612821,50.0,4.514110011752025,0.4604481664398488
33.90000000000021,0.9302192004700922,50.0,4.2899757036752435,0.3966400035201428
34.00000000000021,0.9728144902255518,50.0,4.045849774341983,0.3449040721561426
34.100000000000215,1.0118827437178235,50.0,3.7924552095560364,0.30292439843618857
34.200000000000216,1.047392680511499,50.0,3.5372134693815305,0.26878010723072204
34.30000000000022,1.079391401055588,50.0,3.2853925876756795,0.24091878831304686
34.40000000000022,1.1079809850138784,50.0,3.040721758034754,0.2181027652777377
34.50000000000022,1.1333013859666485,50.0,2.8057805833015252,0.19935198748129054
34.60000000000022,1.1555175583461996,50.0,2.58227430592907,0.18389246287663644
34.70000000000022,1.1748096799435388,50.0,2.371240818266922,0.17111289991441855
34.800000000000225,1.1913657406816691,50.0,2.1732111467048356,0.1605295967110157
34.900000000000226,1.2053759765313135,50.0,1.9883354154118698,0.15175861067734325
35.00000000000023,1.2170287518516454,50.0,1.8164819942539425,0.14449396984318869
35.10000000000023,1.2265075783385175,50.0,1.6573153648676022,0.13849072995944683
35.20000000000023,1.2339890221556846,50.0,1.5103569634435385,0.1335518415023751
35.30000000000023,1.239641300582521,50.0,1.3750323937277036,0.12951797715331426
35.40000000000023,1.2436234094777172,50.0,1.250707753445487,0.12625964453760075
35.500000000000234,1.2460846552185583,50.0,1.1367172996046824,0.1236710573436364
35.600000000000236,1.2471644909926747,50.0,1.0323842554152554,0.12166535822853854
35.70000000000024,1.24699257850138,50.0,0.9370362138972713,0.12017088172780248
35.80000000000024,1.2456890131789735,50.0,0.8500163076204594,0.11912821884601758
35.90000000000024,1.243364664688941,50.0,0.770691080408877,0.11848790133313648
36.00000000000024,1.240121595352681,50.0,0.6984558068157531,0.11820856658190003
36.10000000000024,1.2360535278221552,50.0,0.6327378514172385,0.11825549670249144
36.200000000000244,1.231246340157726,50.0,0.5729985361600708,0.11859945009186716
36.300000000000246,1.225778571872123,50.0,0.5187338847082097,0.11921572262006891
36.40000000000025,1.2197219287410752,50.0,0.46947453339087464,0.12008338985939067
36.50000000000025,1.2131417774958024,50.0,0.4247850351432819,0.1211846926876555
36.60000000000025,1.206097624091852,50.0,0.3842627326047492,0.12250453693579699
36.70000000000025,1.1986435712449544,50.0,0.34753633672453843,0.12403008414784063
36.80000000000025,1.1908287524595005,50.0,0.3142643157365049,0.12575041544803287
36.900000000000254,1.1826977409461625,50.0,0.28413317451493675,0.12765625431828856
37.000000000000256,1.174290932709585,50.0,0.25685568476255516,0.12973973704493594
37.10000000000026,1.165644903746557,50.0,0.23216911112370434,0.1319942218971939
37.20000000000026,1.1567927417785797,50.0,0.20983346629545405,0.1344141299022925
37.30000000000026,1.147764353289044,50.0,0.1896298188361667,0.13699481149840914
37.40000000000026,1.138586746875094,50.0,0.17135867009506442,0.13973243446393413
37.50000000000026,1.129284294081956,50.0,0.15483841106976667,0.1426238894066368
37.600000000000264,1.1198789689822877,50.0,0.13990386569350488,0.14566670980012827
37.700000000000266,1.1103905678100805,50.0,0.1264049237829459,0.14885900411687467
37.80000000000027,1.1008369099697608,50.0,0.11420526442122413,0.15219939805721847
37.90000000000027,1.0912340217257221,50.0,0.10318116873403527,0.155686985235913
38.00000000000027,1.0815963038429206,50.0,0.09322041970056312,0.15932128497985013
38.10000000000027,1.0719366844010678,50.0,0.08422128571528276,0.16310220612724832
38.20000000000027,1.0622667579477914,50.0,0.07609158399377075,0.1670300159107726
38.300000000000274,1.0525969120933083,50.0,0.06874781952615357,0.17110531316369457
38.400000000000276,1.0429364425832734,50.0,0.06211439507078319,0.1753290052162466
38.50000000000028,1.0332936578194931,50.0,0.056122887604706656,0.17970228795430251
38.60000000000028,1.0236759737316066,50.0,0.050711386672233176,0.18422662859883235
38.70000000000028,1.0140899998376967,50.0,0.04582389017145547,0.1889037508357444
38.80000000000028,1.0045416172688797,50.0,0.0414097532698414,0.19373562198456382
38.90000000000028,0.9950360494727554,50.0,0.0374231863275131,0.19872444194316696
39.000000000000284,0.9855779262535228,50.0,0.03382279791780882,0.20387263368632372
39.100000000000286,0.9761713417527711,50.0,0.030571179259355104,0.20918283512957436
39.20000000000029,0.9668199069245402,50.0,0.027634526604674612,0.2146578921981815
39.30000000000029,0.9575267970112062,50.0,0.024982298361681806,0.22030085296452917
39.40000000000029,0.9482947944830371,50.0,0.022586903952098874,0.22611496273718398
39.50000000000029,0.9391263278637786,50.0,0.020423421631833805,0.23210366000153876
39.60000000000029,0.930023506827248,50.0,0.01846934271058056,0.23827057312606226
39.700000000000294,0.9209881539154758,50.0,0.016704339809909926,0.24461951776011398
39.800000000000296,0.9120218331972867,50.0,0.015110056990046826,0.2511544948594145
39.9000000000003,0.9031258761571809,50.0,0.013669919754921668,0.25787968928388433
40.0000000000003,0.8943014050777937,50.0,0.012368963112803463,0.2647994689199258
40.1000000000003,0.8855493541549051,50.0,0.011193676025972628,0.271918384285523
40.2000000000003,0.87687048856178,50.0,0.010131860727747929,0.27924116858194825
