t,theta,omega
58.329999999996964,0.030852220149955215,0.08691542896403691
58.33999999999696,0.03170567371180281,0.08376186165049265
58.34999999999696,0.032527194276889465,0.08052936498131047
58.35999999999696,0.03331600873443053,0.07722118757069159
58.369999999996956,0.03407137681609886,0.07384064874578174
58.379999999996954,0.034792591786544626,0.07039113521435754
58.38999999999695,0.03547898110028599,0.06687609767187454
58.39999999999695,0.03612990702438132,0.06329904735130933
58.40999999999695,0.036744767226328266,0.05966355251926208
58.419999999996946,0.03732299532666968,0.05597323492181579
58.429999999996944,0.037864061415821604,0.052231766183675234
58.43999999999694,0.038367472534673805,0.04844286416413222
58.44999999999694,0.038832773118548956,0.044610289273423566
58.45999999999694,0.039259545404142275,0.040737840753065746
58.469999999996936,0.03964740979909939,0.03682935292376413
58.479999999996934,0.039996025213926215,0.032888691404506364
58.48999999999693,0.04030508935596071,0.028919749306458443
58.49999999999693,0.040574338985172764,0.02492644340528828
58.50999999999693,0.04080355013159458,0.02091271029554575
58.51999999999693,0.04099253827422021,0.016882502530729947
58.529999999996924,0.04114115848124937,0.012839784752674159
58.53999999999692,0.04124930551158681,0.008788529813876497
58.54999999999692,0.0413169138775448,0.004732714896399957
58.55999999999692,0.04134395786873257,0.0006763176309593106
58.56999999999692,0.04133045153715259,-0.0033766877801958634
58.579999999996915,0.041276448643559595,-0.007422334433002582
58.58999999999691,0.041182042565174444,-0.011456666580322586
58.59999999999691,0.041047366164880326,-0.015475743476122931
58.60999999999691,0.04087259162206481,-0.01947564320153998
58.61999999999691,0.04065793022530661,-0.023452466469284734
58.629999999996905,0.04040363212714128,-0.02740234040286619
58.6399999999969,0.040109986061175176,-0.03132142228713008
58.6499999999969,0.03977731902185197,-0.03520590328663273
58.6599999999969,0.03940599590721067,-0.039052012128394355
58.6699999999969,0.03899641912500848,-0.04285601874560243
58.679999999996895,0.03854902816261611,-0.04661423787886439
58.68999999999689,0.038064299121126806,-0.050323032631639564
58.69999999999689,0.03754274421415414,-0.053978817976513466
58.70999999999689,0.03698491123182659,-0.05757806420901256
58.71999999999689,0.036391382970519845,-0.061117300345695964
58.729999999996885,0.03576277662890036,-0.0645931174633006
58.73999999999688,0.03509974317088536,-0.06800217197575986
58.74999999999688,0.034402966656156414,-0.07134118884596159
58.75999999999688,0.03367316353889462,-0.07460696472916029
58.76999999999688,0.03291108193543603,-0.07779637104501035
58.779999999996875,0.032117500861576054,-0.08090635697524244
58.78999999999687,0.031293229440281144,-0.08393395238406329
58.79999999999687,0.030439106080594722,-0.08687627065842107
58.80999999999687,0.029555997628552846,-0.08973051146534373
58.81999999999687,0.028644798490952465,-0.09249396342362608
58.829999999996865,0.02770642973284217,-0.0951640066872139
58.83999999999686,0.026741838149631367,-0.09773811543770913
58.84999999999686,0.02575199531473924,-0.10021386028349936
58.85999999999686,0.024737896603729385,-0.10258891056309861
58.86999999999686,0.0237005601958997,-0.10486103655037254
58.879999999996855,0.02264102605431999,-0.1070281115594122
58.88999999999685,0.021560354885331506,-0.1090881139469144
58.89999999999685,0.02045962707854375,-0.11103912901002443
58.90999999999685,0.019339941628383657,-0.11287935077769846
58.91999999999685,0.01820241503827127,-0.11460708369374717
58.929999999996845,0.017048180208513817,-0.11622074418983075
58.93999999999684,0.015878385309026875,-0.11771886214678653
58.94999999999684,0.014694192638006915,-0.11910008224278507
58.95999999999684,0.01349677746769397,-0.12036316518692765
58.96999999999684,0.012287326878376453,-0.12150698883701898
58.979999999996835,0.011067038581802175,-0.12253054920037101
58.98999999999683,0.009837119735170487,-0.12343296131661974
58.99999999999683,0.008598785746889936,-0.12421346002166374
59.00999999999683,0.007353259075294168,-0.12487140059196312
59.01999999999683,0.006101768021515708,-0.12540625926856844
59.029999999996825,0.004845545517722945,-0.12581763366038196
59.03999999999682,0.0035858279119299024,-0.1261052430262876
59.04999999999682,0.0023238537505913814,-0.12626892843592052
59.05999999999682,0.0010608625601976516,-0.12630865280898354
59.06999999999682,-0.00020190637091687386,-0.12622450083315234
59.079999999996815,-0.0014632152093376493,-0.1260166787607491
59.08999999999681,-0.002721828790695841,-0.1256855140844987
59.09999999999681,-0.003976515829948969,-0.12523145509281808
59.10999999999681,-0.005226050126614482,-0.12465507030522353
59.11999999999681,-0.006469211763760946,-0.1239570477885751
59.129999999996805,-0.007704788299569343,-0.1231381943550088
59.1399999999968,-0.008931575950286177,-0.12219943464253934
59.1499999999968,-0.010148380763400534,-0.121141810079444
59.1599999999968,-0.011354019779888992,-0.1199664777336664
59.1699999999968,-0.012547322184385297,-0.11867470904860263
59.179999999996795,-0.013727130442145949,-0.11726788846675489
59.18999999999679,-0.0148923014216983,-0.11574751194285678
59.19999999999679,-0.016041707502074377,-0.11411518534819098
59.20999999999679,-0.01717423766355145,-0.11237262276793303
59.21999999999679,-0.0182887985608392,-0.1105216446934646
59.229999999996785,-0.019384315577673405,-0.10856417611170634
59.23999999999678,-0.020459733861796926,-0.10650224449362253
59.24999999999678,-0.02151401933933099,-0.10433797768414893
59.25999999999678,-0.022546159707562564,-0.10207360169589
59.26999999999678,-0.02355516540519769,-0.09971143840902277
59.279999999996775,-0.024540070559155372,-0.09725390317993143
59.28999999999677,-0.025499933907002278,-0.09470350236117953
59.29999999999677,-0.02643383969415503,-0.09206283073550557
59.30999999999677,-0.027340898545004013,-0.08933456886660207
59.31999999999677,-0.028220248307140684,-0.08652148036950849
59.329999999996765,-0.029071054867898904,-0.08362640910351495
59.33999999999676,-0.029892512942450176,-0.08065227629053545
59.34999999999676,-0.0306838468327225,-0.07760207756196763
59.35999999999676,-0.031444311156443035,-0.07447887993710964
59.36999999999676,-0.032173191545635714,-0.07128581873625547
59.379999999996755,-0.03286980531393636,-0.06802609443163567
59.38999999999675,-0.0335335020921198,-0.06470296943941303
59.39999999999675,-0.03416366443126574,-0.06131976485598192
59.40999999999675,-0.03475970837302283,-0.05787985714185439
59.41999999999675,-0.03532108398646327,-0.05438667475644868
59.429999999996745,-0.0358472758710538,-0.05084369474712369
59.43999999999674,-0.03633780362530227,-0.04725443929582826
59.44999999999674,-0.036792222280672866,-0.043622472226756276
59.45999999999674,-0.03721012270039716,-0.03995139547841761
59.46999999999674,-0.03759113194284221,-0.036244845543551216
59.479999999996735,-0.037934913589131286,-0.0325064898803202
59.48999999999673,-0.038241168034747426,-0.028740023298239593
59.49999999999673,-0.038509632744884226,-0.024949164322295953
59.50999999999673,-0.0387400824733433,-0.021137651538723847
59.51999999999673,-0.03893232944481223,-0.017309239925908083
59.529999999996726,-0.03908622350039161,-0.013467697173881875
59.53999999999672,-0.03920165220627452,-0.009616799995890601
59.54999999999672,-0.03927854092551639,-0.005760330435487998
59.55999999999672,-0.039316852852867956,-0.001902072172626939
59.56999999999672,-0.039316589012678455,0.001954193167799644
59.579999999996716,-0.039277788219910896,0.005804689701520815
59.589999999996714,-0.03920052700434547,0.009645650961116197
59.59999999999671,-0.03908491949808163,0.013473323559486763
59.60999999999671,-0.0389311172864835,0.0172839708371579
59.61999999999671,-0.03873930922274718,0.02107387649002067
59.629999999996706,-0.03850972120630259,0.024839348174135092
59.639999999996704,-0.0382426159252959,0.028576721084239046
59.6499999999967,-0.0379382925634323,0.032282361502628115
59.6599999999967,-0.03759708647149188,0.035952670315095296
59.6699999999967,-0.03721936880386456,0.039584086490645286
59.679999999996696,-0.03680554612048255,0.04317309052172583
59.689999999996694,-0.036356059954561384,0.04671620782174859
59.69999999999669,-0.03587138634659264,0.05021001207670413
59.70999999999669,-0.0353520353450632,0.05365112854771035
59.71999999999669,-0.0347985504744074,0.05703623732137039
59.729999999996686,-0.03421150817072946,0.06036207650485574
59.739999999996684,-0.03359151718586407,0.06362544536267199
59.74999999999668,-0.03293921796037349,0.06682320739210985
59.75999999999668,-0.032255281966109,0.06995229333443104
59.76999999999668,-0.03154041101899391,0.07300970411888931
59.779999999996676,-0.030795336562714066,0.0759925137367403
59.789999999996674,-0.03002081892403001,0.07889787204244966
59.79999999999667,-0.0292176465404524,0.08172300747936899
59.80999999999667,-0.028386635161049528,0.08446522972721127
59.81999999999667,-0.027528627021181938,0.08712193226872347
59.829999999996666,-0.026644489991984918,0.089690594873023
59.839999999996664,-0.025735116705444604,0.09216878599313715
59.84999999999666,-0.024801423655937627,0.09455416507536037
59.85999999999666,-0.023844350279127752,0.09684448477812337
59.86999999999666,-0.02286485800913557,0.09903759309815038
59.879999999996656,-0.02186392931491911,0.10113143540176682
59.889999999996654,-0.020842566716824197,0.10312405635930866
59.89999999999665,-0.019801791784283422,0.10501360178067726
59.90999999999665,-0.018742644115661598,0.10679832035017889
59.91999999999665,-0.01766618030126379,0.10847656525888719
59.929999999996646,-0.016573472870539074,0.11004679573286828
59.939999999996644,-0.015465609224529261,0.11150757845571346
59.94999999999664,-0.01434369055462682,0.11285758888393155
59.95999999999664,-0.013208830748720193,0.11409561245386367
59.96999999999664,-0.012062155285817526,0.11522054567889604
59.979999999996636,-0.010904800120251424,0.11623139713586142
59.989999999996634,-0.009737910556577951,0.11712728833963751
59.99999999999663,-0.008562640116292333,0.11790745450507024
60.00999999999663,-0.007380149397491986,0.1185712451954709
60.01999999999663,-0.006191604928624378,0.11911812485705928
60.029999999996626,-0.004998178017462867,0.11954767323884932
60.039999999996624,-0.0038010435964581147,0.11985958569759905
60.04999999999662,-0.002601379065615764,0.12005367338757328
60.05999999999662,-0.001400363134053009,0.12012986333499451
60.06999999999662,-0.0001991746613872516,0.12008819839718497
60.079999999996616,0.0010010084998906107,0.11992883710653056
60.089999999996614,0.0021990106599076645,0.11965205339952491
60.09999999999661,0.003393659443617861,0.11925823623127926
60.10999999999661,0.0045837869385854015,0.11874788907601032
60.11999999999661,0.0057682308372054986,0.11812162931414416
60.129999999996606,0.006945835572232386,0.11738018750679917
60.139999999996604,0.008115453444492693,0.11652440655853408
60.1499999999966,0.009275945741671772,0.11555524076936914
60.1599999999966,0.01042618384707126,0.1144737547772085
60.1699999999966,0.011565050337248011,0.11328112239190963
60.179999999996596,0.01269144006745757,0.11197862532236146
60.189999999996594,0.013804261243839598,0.11056765179804612
60.19999999999659,0.014902436481297866,0.10904969508666966
60.20999999999659,0.01598490384604393,0.10742635190955488
60.21999999999659,0.01705061788179099,0.10569932075659441
60.229999999996586,0.018098550618602938,0.10387040010266335
60.239999999996584,0.019127692563423136,0.10194148652748956
60.24999999999658,0.020137053671327867,0.09991457274107429
60.25999999999658,0.021125664296570788,0.09779174551684758
60.26999999999658,0.022092576122507056,0.0955751835348303
60.279999999996576,0.02303686306950889,0.09326715513715939
60.289999999996574,0.023957622180008322,0.09087001599841263
60.29999999999657,0.024853974479827637,0.08838620671324668
60.30999999999657,0.025725065814983496,0.08581825030393432
60.31999999999657,0.026570067663176974,0.08316874965045627
60.329999999996566,0.027388177919208594,0.08044038484586816
60.339999999996564,0.02817862165358498,0.0776359104797244
60.34999999999656,0.028940651843611817,0.07475815285239878
60.35999999999656,0.029673550076296577,0.07181000712319513
60.36999999999656,0.030376627222413514,0.06879443439519188
60.379999999996556,0.031049224081113224,0.06571445873981101
60.389999999996554,0.03169071199448915,0.0625731641641447
60.39999999999655,0.032300493431543904,0.059373691524112926
60.40999999999655,0.03287800254102931,0.05611923538656112
60.41999999999655,0.033422705672665136,0.0528130408434402
60.42999999999655,0.03393410186627332,0.049458400281240864
60.439999999996544,0.034411723308396036,0.0460586501088806
60.44999999999654,0.03485513575599842,0.04261716744726556
60.45999999999654,0.03526393892688868,0.03913736678377008
60.46999999999654,0.03563776685652126,0.035622696594894566
60.47999999999654,0.03597628822088105,0.03207663594037759
60.489999999996535,0.03627920662517975,0.028502691032050772
60.49999999999653,0.03654626085812817,0.024904391780734957
60.50999999999653,0.03677722511158153,0.021285288324483946
60.51999999999653,0.03697190916538771,0.017648947541487423
60.52999999999653,0.037130158537301595,0.013998949550947711
60.539999999996525,0.03725185459786196,0.010338884205245959
60.54999999999652,0.037336914650160195,0.006672347576712183
60.55999999999652,0.03738529197446358,0.0030029384423102294
60.56999999999652,0.03739697583768877,-0.0006657452304564595
